AmountSaved,저장된 금액
ScotApp_139,영수증 받기
ScotApp_1043,고객으로부터 %s을(를) 허용하려면 도움 모드를 이용하십시오.
ScotApp_1401,  잠시만 기다려 주십시오...
UnknownItemMessage,곧 도움을 받으실 수 있습니다.\n\n상품을 옆에 두고 계속 진행하십시오.
TimeRestrictedItemMessage,지금 이 상품을 구입하실 수 없습니다. \n\n상품을 옆에 두고 계속 진행하십시오.
ItemQuantityExceededMessage,이 상품에 대해 허용된 금액을 초과했습니다.\n\n상품을 유보한 다음 계속 진행해 주십시오.
WeightMismatch,상품 무게 확인 중.\n\n잠시만 기다려 주십시오...
ItemQuantityExceeded,수량 제한 초과
WaitForRemoteAssistanceTitle,원격 안내 도움 요청 처리 중.
ScotApp_489,NCR SelfServ Checkout을 사용해 주셔서 감사드립니다.
ScotApp_273,지금 스캔하지 마십시오.\n상품을 유보해 주시기 바랍니다.
ScotApp_431,유효하지 않은 고객 카드. 확인해 주시기 바랍니다.
ScotApp_410,다음에 대해 도움 필요:
ScotApp_1739,안내 직원을 기다려 주십시오. \n시스템이 장바구니 검사를 할 수 없습니다. \n장바구니 영역에 장바구니 이외의 다른 물건을 올려 놓으셨다면 지금 바로 치워주시기 바랍니다.
ScotApp_73,쇼핑 모드로 돌아가기
ScotApp_772,현재 거래에 대한 보류가 요청되었습니다.\n이 요청을 확인하거나 취소해 주십시오.
ScotApp_530,카드 읽기 오류.\n다른 카드를 이용해 주십시오.\n   -또는-\n현금으로 지불해 주십시오.\n   -또는-\n도움을 요청하십시오.
ScotApp_524,잘못된 PIN 입력.\n지불 장치에 PIN을 다시 입력해 주십시오.
ScotApp_397,올바른 상품을 판매하기 위해서 도움모드를 이용해 주십시오.\n판매하지 않을 다른 상품들을 모아 주십시오.
ScotApp_171,"""%s""\n\n%d이(가) 정확합니까?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,거래가 보류되었습니다. 모든 상품을 보관해 주십시오.
ScotApp_495,이 상품에 대해 허용된 금액을 초과했습니다.\n\n상품을 유보한 다음 계속 진행해 주십시오.
ScotApp_529,카드를 제거한 다음...\n다른 카드를 넣어 주십시오.\n   -또는-\n현금으로 지불해 주십시오.\n   -또는-\n도움을 요청하십시오.
ScotApp_275,지금 요금 카드를 넣지 마십시오.\n카드를 받으십시오.
ScotApp_1891,시스템 검증 진행 중. \n잠시만 기다려 주십시오...
ScotApp_1750,지문을 처리하는 동안 기다려 주십시오.
ScotApp_169,구입을 계속하시겠습니까?
ScotApp_415,고객 카드를 받으십시오.\n카드가 이미 삽입되어 있습니다.
ScotApp_1793,현재 이 시스템에서는 신용 카드와 직불 카드만 사용 가능합니다.\n계속하시겠습니까?
ScotApp_477,쿠폰을 제출해 주십시오.\n영수증이 인쇄된 후:\n—상품을 모아 주십시오.\n—영수증과 상품을 계산대로 가져가 주십시오.
ScotApp_177,전체 구매 내역 취소됨.
ScotApp_656,<%s>을(를) 유보해 주시기 바랍니다.\n매장 직원이 도와드릴 것입니다.
ScotApp_1709,지금 지폐나 동전을 넣지 마십시오.\n반환된 현금을 받아 주십시오.\n지폐는 스캐너 아래에서 지급됩니다.
ScotApp_435,혜택 유형을 선택해 주십시오.\n푸드 스탬프를 사용할 경우 다른 혜택을 사용하기 전에 사용되어야 합니다.
ScotApp_808,보안 태그를 제거하기 위해서 보안 태그가 부착된 상품을 안내 직원에게 가져가 주십시오.
ScotApp_294,"매장 내의 도움을 요청하려면 '도움 요청' 단추를 눌러 주십시오."
ScotApp_1287,잠시만 기다려 주십시오 ...\n상품 중량 확인 중.
ScotApp_525,잘못된 PIN 입력.\n카드를 제거한 다음...\n다른 카드를 넣어 주십시오\n   -또는-\n현금으로 지불해 주십시오
ScotApp_480,OK을 누른 다음 거래 내역서와 상품을 출납 직원에게 전달해 주십시오.
ScotApp_1751,* 최대 무게 허용 초과.\n* 봉투 저울에서 상품을 제거하십시오.
ScotApp_175,"영수증에서\n""%s""\n을(를) 제거하시겠습니까?"
ScotApp_1746,지문 인식 서버를 이용할 수 없습니다.\n다시 시도해 주십시오
ScotApp_1839,출납 직원을 기다려 주십시오.\n지금 스캔하지 마십시오. 상품을 유보해 주시기 바랍니다.
ScotApp_501,영수증에 서명을 한 다음 매장 승인을 기다려 주십시오.
ScotApp_414,고객 카드를 받으십시오.\n현재 구입 내역에 할인을 적용할 수 없습니다. 할인 혜택은 우편으로 발송될 것입니다.
ScotApp_563,Hard Totals 초기화 중 에러 발생.\n지금 응용 프로그램을 종료합니다.
ScotApp_263,쿠폰이 무효화 될 때까지 관련 상품을 무효화할 수 없습니다.\n상품의 쿠폰을 먼저 무효화해 주십시오.
ScotApp_800,"장바구니를 확인해 주십시오.\n\n지금 추가 상품을 스캔하거나\n'OK'을 누른 다음 지불해 주십시오."
ScotApp_134,인증 진행 중. \n잠시만 기다려 주십시오.
ScotApp_620,허용치 입력
ScotApp_161,"%s\n키패드를 이용해서 수량을 입력한 다음 'OK'을 눌러 주십시오."
ScotApp_440,현금 혜택 잔고가 필요한 액수보다 부족합니다.\n이 구매에 남아 있는 현금 혜택 %s을(를) 적용하시겠습니까?
ScotApp_184,%s 만큼 귀하의 계정에서 차감됩니다.
ScotApp_274,지금 현금을 입금하지 마십시오.\n현금을 받으시기 바랍니다.
ScotApp_1744,장치가 지문을 인식하지 못했습니다.\n다시 시도해 주십시오.
ScotApp_160,상품이 취소되었습니다.\n곧 도움을 받으실 수 있습니다.\n상품을 유보한 다음 구입을 계속해 주시기 바랍니다.
ScotApp_1795,또는 ‘카드 전용’으로 제한.
ScotApp_159,상품 가격을 알 수 없습니다.\n곧 도움을 받으실 수 있습니다.\n상품을 유보한 다음 구입을 계속해 주시기 바랍니다.
ScotApp_458,혜택 유형을 선택해 주십시오.\n이 용도로는 푸드 스탬프를 사용할 수 없습니다.
ScotApp_1329,잠시만 기다려 주십시오 ...\n상품 중량 확인 중.\n두 배 중량 봉투 적용.
ScotApp_407,카드 읽는 도중 에러 발생.\n*  다른 카드로 시도해 주십시오\n   -또는-\n*  도움을 요청해 주십시오
ScotApp_706,"푸드 스탬프 잔고가 이 구입 내역 총합 보다 적습니다.\n'OK'을 누르면 다른 지불 방식을 이용할 수 있습니다."
ScotApp_606,중량 항목 삭제
ScotApp_906,상품을 받아 주십시오.
ScotApp_705,"현금 혜택 잔고가 이 구입 내역 총합 보다 적습니다.\n'OK'을 누르면 다른 지불 방식을 이용할 수 있습니다."
ScotApp_605,중량 항목 추가
ScotApp_405,카드 읽는 도중 에러 발생.\n*  다른 카드로 시도해 주십시오\n   -또는-\n*  현금으로 지불할 수 있습니다\n   -또는-\n*  도움을 요청해 주십시오
ScotApp_491,카드를 받아 주십시오.
ScotApp_818,출납 직원을 기다려 주십시오.\n다음 사안에 대해 도움 필요:
ScotApp_1796,또는 ‘현금 전용’으로 제한.
ScotApp_438,푸드 스탬프 잔고가 필요한 액수보다 부족합니다.\n이 구매에 남아 있는 푸드 스탬프 혜택 %s을(를) 적용하시겠습니까?
ScotApp_1596,%s을(를) 선호하는 언어로 %s에 저장하시겠습니까?\n ‘예’ 또는 ‘아니요’를 선택해 주십시오.
ScotApp_766,%s 만큼 귀하의 계정에서 요금이 청구됩니다.
ScotApp_166,곧 도움을 받으실 수 있습니다.\n구입을 계속해 주시기 바랍니다.
ScotApp_413,고객 카드를 받으십시오.\n할인된 가격이 적용될 것입니다.
ScotApp_1797,수정 작업으로 이 에러가 해결되지 않았습니다.\n다시 시도하거나 ‘현금만’으로 제한하십시오.
ScotApp_178,매장 승인 대기 중.\n다음 항목에 대해 승인 필요:
ScotApp_790,카드가 거부되었습니다.\n다른 지불 방법을 선택해 주십시오.
ScotApp_1794,현재 이 시스템에서는 현금만 사용 가능합니다.\n신용 카드나 직불 카드는 처리할 수 없습니다.\n계속 하시겠습니까?
ScotApp_412,이 상품을 구입하면 구입 내역이 %s을(를) 초과하게 됩니다.\n 지금 지불을 마친 다음 다른 상품을 별도로 구입해 주십시오.
ScotApp_546,연령 제한 때문에 이 상품을 구입할 수 없습니다.n\n이 상품을 유보한 다음 구입을 계속해 주시기 바랍니다.
ScotApp_553,구입 마지막 단게에서 쿠폰을 이용하실 수 있습니다.\n쿠폰 사용을 잠시 유보한 다음 계속해 주십시오.
ScotApp_211,처리 중...\n잠시만 기다려 주십시오.
ScotApp_1400,원격 안내도움 요청 처리 중.
ScotApp_1754,문자와 상품이 일치하지 않음.\n다시 시도해 주십시오.
ScotApp_1859,"%s의 전체 한 상자를 구입하시겠습니까? '예' 또는 '아니요'를 선택하십시오."
ScotApp_533,지금 이 상품을 구입하실 수 없습니다.\n이 상품을 유보한 다음 계속 구입해 주시기 바랍니다.
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,다음 항목에 대한 용기를 선택하십시오: %s
ScotApp_703,"PIN 패드를 이용하십시오. PIN 패드에서 '취소'를 누르면 지불을 취소합니다."
ScotApp_125,고객의 출생 날짜 %s 입력 후’승인’ 누름
ScotApp_1853,"고객의 출생 날짜 %s 입력 후 ""입력"" 누름. "
ScotApp_654,날짜는 %s 형식으로 입력되어야 합니다.입력된 값: %s
ScotApp_560,이 시스템은 쿠폰 사용을 허가하지 않습니다.
ScotApp_1788,%d이(가) 정확합니까?\n\n%s의 봉투 요금이 총액에 추가될 것입니다.
ScotApp_1358,구입 결제에 선물 카드 금액 %s이(가) 적용되었습니다. \n\n선물 카드 잔고는 %s 입니다.
ScotApp_167,쿠폰이 구입한 상품들과 일치하지 않습니다.\n\n이 쿠폰은 허용되지 않습니다.
ScotApp_164,시스템이 해당 상품 코드를 인식할 수 없습니다.\n\n올바른 번호가 입력되었는지 확인해 주십시오.
ScotApp_547,부정확한 오퍼레이터 번호 및 패스워드.\n\n다시 시도해 주십시오.
ScotApp_442,푸드 스탬프로 구입 내역 중 %s을(를) 구입할 수 있습니다.\n\n%s
ScotApp_443,귀하의 계정에서 %s 만큼 차감됩니다.\n\n계속하시겠습니까?
ScotApp_700,이 계산 통로에서 상품을 판매할 수 없습니다.\n곧 도움을 받으실 수 있습니다.\n\n상품을 유보한 다음 구매를 계속해 주십시오.
ScotApp_165,시스템이 이 상품을 인식할 수 없습니다.\n곧 도움을 받으실 수 있습니다.\n\n상품을 유보한 다음 구입을 계속해 주시기 바랍니다.
ScotApp_182,이 쿠폰에 대해 입력한 금액이 너무 높습니다.\n\n이 시스템은 이 쿠폰을 받을 수 없습니다.
ScotApp_733,카드 거부됨.\n다른 카드를 사용하거나 현금으로 지불해 주십시오.
ScotApp_812,NCR SelfServ Checkout을 사용해 주셔서 감사드립니다.\n선물 카드를 출납 직원에게 제출해 주십시오.
ScotApp_1826,고객 카드에 사용 환경을 저장하시겠습니까?
ScotApp_1852,장바구니 영역에서 취소된 상품을 제거해 주십시오.
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,잠시만 기다려 주십시오...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
