AmountSaved,المبلغ المدخر
ScotApp_1644,غطاء جهاز إعادة تدوير الأوراق النقدية مرفوع
ScotApp_1115,إعداد التقارير في وضعية الانفصال
ScotApp_795,تتم مراقبة عمليات الشراء لضمان خدمة أفضل.
ScotApp_695,695 غير مستخدمة
ScotApp_595,يجري تحميل NCR SelfServ Checkout AuxDisp...
ScotApp_395,سلع غير متاحة وخاضعة لقيود
ScotApp_295,295 غير مستخدمة
ScotApp_195,تم تحميل مدير الأجهزة.
ScotApp_566,566 غير مستخدمة
ScotApp_1324,الوزن المتبقي على\nالميزان بعد العملية.
ScotApp_995,اذهب إلى الممر وسجل الدخول في وضعية المتجر لفتح الممر.
ScotApp_895,يجري إنهاء DBM...
ScotApp_1102,التالي
ScotApp_1383,(Exc)
ScotApp_1402,مقبس صندوق الأوراق المرفوضة لا يعمل.
ScotApp_1292,س - ع
ScotApp_1114,"""نجاح تحديث ""فترة إنهاء التقرير"""
ScotApp_1222,خارج الخدمة
ScotApp_1101,%s\t%s
ScotApp_1159,PinPad / EFT لا تستجيب.
ScotApp_1100,%s
ScotApp_1539,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1649,(اليوم الشهر السنة)
ScotApp_1317,الدفع بكوبون
ScotApp_1883,"افحص ميزان الأكياس والعربة بحثاً عن سلع إضافية والمِس ""وافق أمنيّاً""."
ScotApp_729,729 غير مستخدمة
ScotApp_629,مجموع المطلوب:
ScotApp_429,أحمر
ScotApp_329,    %ss بسعر %d %s/%s
ScotApp_229,229 غير مستخدمة
ScotApp_129,أكد أن السلع الملغاة قد وضعت جانبا.
ScotApp_1107,%s\t%s\tالكمية%s بسعر %s/%s\t%s
ScotApp_1538,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_929,WLDB لا يتواصل بالشكل الصحيح.
ScotApp_829,829 غير مستخدمة
ScotApp_1316,* افتح غطاء الطابعة وتأكد من عدم وجود أوراق عالقة في المنطقة المبينة. \n* أغلق غطاء الطابعة وأعد تحميل الورق.
ScotApp_81,حللت المشكلة
ScotApp_1882,تنبيه المساعدة الذكية - السلعة غير ممسوحة.
ScotApp_1673,نقود معدنية عالقة
ScotApp_1135,خطأ في صراف الأوراق
ScotApp_1705,خطأ في الاتصال.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,تم إدخال تاريخ الميلاد: %s، %d عاما
ScotApp_1398,  الحاضر/المتدرب
ScotApp_1106,%s\t%s\tالكمية %s بسعر  %s/لكل وحدة\t%s
ScotApp_1525,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1493,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1490,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1315,* افتح غطاء الطابعة وتأكد من عدم وجود أوراق عالقة. \n* أغلق غطاء الطابعة وأعد تحميل الورق.
ScotApp_1881,"افحص ميزان الأكياس، وأزِل السلع الزائدة، والمِس ""وافق أمنيّاً""."
ScotApp_1173,سلعة ملغاة موافق عليها
ScotApp_1524,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_505,رقم غير صحيح
ScotApp_1302,إغلاق
ScotApp_905,  (المزيد من المعلومات على الوصل...)
ScotApp_1164,وضع الطابعة غير صحيح.
ScotApp_1492,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1314,* افتح غطاء الطابعة وأزل أية قصاصات ورق. \n* أغلق الغطاء. \n* أدخل لفافة ورق جديدة. \n* لقم الورق من أعلى اللفافة في الطابعة.
ScotApp_1817,* اسحب جهاز تدوير القطع النقدية إلى الخارج.\n* افتح الأبواب الجانبية المدورة وأزل القطع النقدية عن الأحزمة.\n* تأكد من إغلاق جميع الأبواب وإقفالها بإحكام.\n* أعد القطع النقدية إلى العميل. إذا تكرر الخطأ، اتصل بالصيانة.
ScotApp_1442,"أدخل النقود للتعبئة أو المس ""أزل النقود"" للتفريغ."
ScotApp_1880,سلعة غير متوقعة على ميزان الأكياس.
ScotApp_1172,تعليق مؤكد
ScotApp_1415,1415 غير مستخدمة
ScotApp_788,تاريخ الميلاد الصحيح: %s
ScotApp_688,688 غير مستخدمة
ScotApp_588,يجري تحميل معمل الأجهزة...
ScotApp_488,ضع السلعة على الميزان: %s
ScotApp_388,تجري المعالجة...
ScotApp_288,"المس ""حللت المشكلة"".\nإذا بقي الخطأ، أعد تشغيل الآلة:\nأدر قفل المشرف إلى 'S' أو اضغط على زر المشرف.\nاختر ""وقف تشغيل النظام بالكامل"".\nعندما تصبح الشاشة فارغة، أطفئ الآلة من منفذ الكهرباء أو سلك الكهرباء.\nشغل الآلة. إذا حدث الخطأ مجددا، اطلب الصيانة."
ScotApp_188,تحميل الخيارات جار...
ScotApp_988,سلعة غير متوقعة على الحزام. أزل السلعة.
ScotApp_888,سلعة غير متوقعة في منطقة التعبئة في أكياس.  أزل السلعة.
ScotApp_1887,راجع المعاملة
ScotApp_1171,زيادة غير متوقعة
ScotApp_1199,تم إدخال تاريخ انتهاء الصلاحية
ScotApp_1300,ابدأ المعاملة
ScotApp_1326,انتهى وقت إدخال القسيمة
ScotApp_1291,ك - م
ScotApp_1517,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1886,تأكد من وجود سلع إضافية.
ScotApp_749,749 غير مستخدمة
ScotApp_1529,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_549,549 غير مستخدمة
ScotApp_449,تم رفض حالة متلقي البطاقات
ScotApp_349,349 غير مستخدمة
ScotApp_249,249 غير مستخدمة
ScotApp_149,أدخل رقم الهوية الشخصي.
ScotApp_1307,طباعة الوصل
ScotApp_1738,الموظف الحاضر لتوثيق أكياسك
ScotApp_949,949 غير مستخدمة
ScotApp_717,717 غير مستخدمة
ScotApp_617,اختر إعدادات مقارنة الأوزان. (مقارنة وزن السلعة بالقيود الحالية.)
ScotApp_517,تم طلب الدفع بطريقة أخرى.
ScotApp_417,تم تحميل المجاميع.
ScotApp_317,317 غير مستخدمة
ScotApp_217,217 غير مستخدمة
ScotApp_117,وضع السلع جانبا
ScotApp_1516,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1885,سلعة غير ممسوحة
ScotApp_917,طلبات كثيرة لإزالة السلع من منطقة التعبئة في أكياس.  الأقصى = %d.
ScotApp_817,المساعدة مطلوبة
ScotApp_1177,انتهى وقت تعبئة السلع في الأكياس
ScotApp_1528,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1175,لا تعبئ في أكياس تم تجاوز الحد
ScotApp_1109,%s\t%s\t%s بسعر  %s/%s\t%s
ScotApp_1453,كلمة مرور المحاسب
ScotApp_1693,استبدال العملة المعدنية
ScotApp_1515,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_7,7 غير مستخدمة
ScotApp_6,6 غير مستخدمة
ScotApp_5,5 غير مستخدمة
ScotApp_4,4 غير مستخدمة
ScotApp_3,3 غير مستخدمة
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,تم إدخال سلعة جديدة
ScotApp_1724,عملية وضعية تدريب
ScotApp_1019,ضعه على الحزام
ScotApp_9,9 غير مستخدمة
ScotApp_8,8 غير مستخدمة
ScotApp_609,تعديل تحمل الوزن
ScotApp_1305,تم إدخال %s
ScotApp_1893,Invalid Barcode
ScotApp_1409,قائمة المساعدة
ScotApp_1692,تسجيل دخول المشرف
ScotApp_1163,"المس ""حللت المشكلة"".\n\nإذا بقي الخطأ، أعد تشغيل الآلة:\nأدر قفل المشرف إلى 'S' أو اضغط على زر المشرف.\nاختر ""وقف تشغيل النظام بالكامل"".\nعندما تصبح الشاشة فارغة، أطفئ الآلة من منفذ الكهرباء أو سلك الكهرباء.\nشغل الآلة. إذا حدث الخطأ مجددا، اطلب الصيانة."
ScotApp_1514,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1372,متلقي النقود المعدنية
ScotApp_1048,1048 غير مستخدمة
ScotApp_967,967 غير مستخدمة
ScotApp_1304,تم قبول بطاقة الولاء.
ScotApp_1162,الآلة مفصولة.
ScotApp_1833,Exc_TB
ScotApp_1818,* فك طبق الملقّم واسحبه إلى الخارج لإزالة الانسداد.(I).\n* أعد القطع النقدية العالقة إلى علبة (علب) الملقّم المناسبة. ثم أعد إدخال طبق الملقّم وثبّته. \n* اسحب جهاز تدوير القطع النقدية إلى الخارج. ثم فك الغطاء وانزعه. \n* افصل السلك المبيّن (II).\n* أطلق الزر الأحمر على الجانب الأيمن من المتلقي ثم اسحبه إلى الأمام واقلبه لإزالة الانسداد من المناطق المبيّنة (III). \n* أعد إدخال المتلقي وأعد وصل السلك. \n* أعد الغطاء إلى مكانه وثبّته. إذا تكرر الخطأ، اتصل بالصيانة.
ScotApp_1174,وزن غير مطابق
ScotApp_1500,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1366,الميزان
ScotApp_1161,خطأ في جهاز الإشعار
ScotApp_1717,WO:
ScotApp_1832,Exc_DEPT
ScotApp_1370,المشفر
ScotApp_669,فشلت طباعة التوقيع. وقع خطأ.
ScotApp_569,أدخل الرمز
ScotApp_469,469 غير مستخدمة
ScotApp_369,خطأ اتصال بالطابعة
ScotApp_269,وضعية المساعدة
ScotApp_1507,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_969,969 غير مستخدمة
ScotApp_737,737 غير مستخدمة
ScotApp_637,الأمان غير متصل، تم إلغاء الإجراء الأخير.
ScotApp_537,537 غير مستخدمة
ScotApp_437,رصيد غير كاف
ScotApp_337,"امسح سلعتك، أو أدخل رمزها والمس ""OK""."
ScotApp_237,أدخل علبة الأوراق النقدية حتى تثبت في مكانها.\n\nاسحب مقبض العلبة لضمان تثبيت العلبة في مكانها.
ScotApp_137,خذ الباقي
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s المتوقع;LSWND3=%s %s الملاحظ;
ScotApp_1519,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1831,المقحم
ScotApp_937,الحد من/إزالة السلع
ScotApp_837,الرسوم
ScotApp_1702,*** وصل مكرر ***
ScotApp_1377,الكمية
ScotApp_1728,نرجو الاختيار من القائمة.
ScotApp_1395,ادخل وضعية الموظف الحاضر
ScotApp_716,716 غير مستخدمة
ScotApp_616,مقارنة الأوزان
ScotApp_516,الدفع بطريقة أخرى
ScotApp_416,يجري تحميل المجاميع...
ScotApp_316,316 غير مستخدمة
ScotApp_216,* افتح باب خزانة الطابعة.\n* ارفع غطاء الطابعة للتأكد من عدم وجود ورق عالق.\n* أنزل غطاء الطابعة وأعد تحميل الورق.\n* سيتم طباعة وصل برسم وجه مبتسم.\n* أقفل وأغلق باب خزانة الطابعة.
ScotApp_116,إلغاء جميع السلع
ScotApp_1522,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1506,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1879,"افحص ميزان الأكياس والمِس ""وافق أمنيّاً""."
ScotApp_916,"افحص السلعة في الممر والمس ""مسح أمني""."
ScotApp_816,816 غير مستخدمة
ScotApp_1167,*افتح باب خزانة الطابعة. \n* افصل الطابعة وادفعها إلى الخلف. \n* افتح غطاء الطابعة لفحص وجود أوراق عالقة. \n* أغلق غطاء الطابعة وأعد تحميل الورق. \n* اسحب الطابعة بحرص إلى الأمام حتى تثبت في مكانها.
ScotApp_1518,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1830,  المدخلات المعتمدة
ScotApp_1376,", %s"
ScotApp_783,783 غير مستخدمة
ScotApp_683,683 غير مستخدمة
ScotApp_583,تم رفض البطاقة.
ScotApp_483,نرجو التوقيع على حشية التوقيع باستخدام القلم المربوط بها.
ScotApp_383,383 غير مستخدمة
ScotApp_283,أدخل كلمة المرور
ScotApp_1505,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_983,يجري تحميل حزام النقل...
ScotApp_883,تأكيد التعليق
ScotApp_1363,عرض السطر
ScotApp_1714,تمت الموافقة على رفض التعليق
ScotApp_1837,"Touch ""Approve"" to continue transaction."
ScotApp_1449,حالة النقود الورقية
ScotApp_1375,التعديل بعد شراء السلعة:\n%s
ScotApp_1248,بطاقة هدية
ScotApp_1153,ورق عالق.
ScotApp_1504,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
